X,Y,Z,Timestamp
-0.339873,-0.183092,1.024426,1489692126344
-0.933182,0.454591,0.022702,1489692126542
-0.177273,-0.770904,-1.116678,1489692126739
-0.738233,0.137529,1.094282,1489692126939
0.265238,0.861729,0.061903,1489692127141
0.048172,-0.572796,-1.447588,1489692127337
0.049524,-0.594533,0.969271,1489692127530
-0.869826,1.571760,0.584412,1489692127728
-0.216946,0.161560,-0.948574,1489692127925
-0.643058,-1.097840,-0.281970,1489692128123
0.159174,1.416076,1.577870,1489692128326
0.310612,0.002275,-1.509883,1489692128524
-0.361928,0.126829,0.176683,1489692128715
-1.755080,1.020630,0.513664,1489692128913
-0.898236,1.066061,-0.194655,1489692129118
-2.069715,2.137064,0.403667,1489692129308
0.631330,1.070011,0.100976,1489692129506
0.155088,0.016736,-0.288836,1489692129703
0.558450,-1.250374,0.129540,1489692129901
0.617497,-0.647575,0.049921,1489692130103
0.245987,-1.341564,-0.350590,1489692130296
0.205217,-0.493415,0.206197,1489692130494
1.256972,0.418358,0.214855,1489692130691
1.013553,0.475149,-0.199107,1489692130893
0.013626,1.121911,0.080810,1489692131087
0.156217,1.088002,0.172715,1489692131285
0.060929,1.246779,-0.055793,1489692131483
-0.184880,-1.614856,-0.085986,1489692131686
0.476901,-1.710255,0.891742,1489692131877
-0.826130,-0.205498,-1.522618,1489692132075
-0.928579,-0.618694,0.060399,1489692132272
1.383341,-1.293898,1.214748,1489692132469
0.237318,-0.991566,-1.101267,1489692132667
-0.294195,-0.446765,0.151670,1489692132864
0.174045,-1.431554,0.532334,1489692133065
-0.356276,-0.321584,-0.724273,1489692133261
-0.627892,-0.676505,-0.005673,1489692133457
0.912721,-0.806999,0.328085,1489692133655
1.194012,-1.113120,0.061934,1489692133853
0.053058,-0.793922,-0.155404,1489692134050
0.221007,0.786949,-0.448596,1489692134248
0.152286,1.004622,0.272472,1489692134445
-1.058665,0.039863,0.224549,1489692134643
-0.209829,-1.186835,0.547438,1489692134840
-0.817533,-1.004572,-0.961308,1489692135046
0.438814,-1.474335,0.346598,1489692135236
-0.313218,-0.558041,0.618235,1489692135433
-0.180870,-0.395512,-0.036550,1489692135632
-0.456412,0.606069,-0.713303,1489692135830
0.584578,-0.575672,0.568840,1489692136026
0.496004,-0.391547,-0.075980,1489692136223
-0.113913,0.013863,-0.485143,1489692136421
-0.731336,-0.711103,-0.127978,1489692136624
0.455130,-0.401321,0.779580,1489692136816
0.683045,-0.919653,0.049264,1489692137020
-1.019473,-0.474787,-0.764199,1489692137216
-1.021958,-0.093669,0.193994,1489692137409
0.262333,-0.493730,0.511787,1489692137607
-0.317697,-0.256474,-0.674402,1489692137804
-0.808341,-0.578197,-0.062330,1489692138002
0.784724,0.340511,1.710893,1489692138199
0.179933,0.641531,-0.743590,1489692138396
-0.366584,-0.253554,-1.074876,1489692138594
-0.027568,-0.106640,0.550417,1489692138791
1.212524,0.663032,0.560644,1489692138994
-0.135925,0.165713,-0.944316,1489692139187
0.046877,0.014432,0.284941,1489692139385
-0.269267,0.853798,0.306656,1489692139582
1.230754,-0.612884,-0.313531,1489692139787
-0.296043,-0.779911,-0.154829,1489692139977
-0.169795,-1.293037,-0.187452,1489692140175
-0.128683,-0.544193,1.223991,1489692140372
-0.456766,1.076579,0.131540,1489692140575
-0.892651,-0.458640,-1.593538,1489692140767
-0.721416,-0.046346,1.050314,1489692140965
-0.912255,0.681991,0.092983,1489692141162
-0.486789,0.204362,-1.040104,1489692141360
-0.301845,-0.289957,0.289817,1489692141558
0.392953,-0.235037,0.408336,1489692141755
-0.216914,0.624295,0.039695,1489692141953
-0.460389,-1.115873,-0.754210,1489692142163
-0.185230,0.096237,1.496009,1489692142348
-0.163528,0.639514,-0.558315,1489692142546
-0.047782,-0.577551,-1.032031,1489692142747
0.444066,-0.130917,0.007226,1489692142942
0.388508,1.178628,1.676761,1489692143139
0.173673,-0.261521,-1.410119,1489692143339
0.014328,-0.842763,-0.030181,1489692143534
-0.373774,0.775476,0.955822,1489692143731
-0.514707,0.712924,-0.550224,1489692143932
-0.281840,0.104408,-0.200232,1489692144127
-1.027987,0.155891,0.670058,1489692144323
-2.284528,1.218027,-0.118508,1489692144521
-0.741024,0.575504,0.150349,1489692144731
-0.732488,0.655988,0.191640,1489692144916
0.157566,0.336374,0.059505,1489692145114
0.711741,-0.760486,-0.010691,1489692145314
1.631101,0.117180,0.059887,1489692145509
0.807108,-1.224667,-1.175416,1489692145707
0.383245,-1.490295,0.341929,1489692145904
0.295618,-0.938442,0.502028,1489692146101
0.949870,-0.582794,-0.239601,1489692146299
1.044278,-0.454738,0.096152,1489692146503
0.215491,-0.452274,-0.100489,1489692146697
0.077896,-0.754889,-0.104306,1489692146896
0.796284,1.057177,1.028253,1489692147097
-0.084376,0.678799,-0.267293,1489692147298
-0.486942,0.590723,0.122564,1489692147487
-0.056473,0.370903,-0.099558,1489692147682
-0.617399,-0.427113,-0.289339,1489692147889
-0.199306,-0.855687,-0.040965,1489692148077
-0.457546,-0.781337,-0.307936,1489692148277
-0.564357,-0.690161,0.403969,1489692148472
0.705844,-0.385939,0.243609,1489692148671
0.710568,-0.768640,-0.093598,1489692148867
-0.313455,-0.712359,-0.611938,1489692149064
-0.468400,-0.835195,0.841769,1489692149262
0.413094,-1.183551,-0.226099,1489692149460
-0.201991,-0.190193,-0.750034,1489692149670
-0.858075,-0.021264,0.115065,1489692149855
1.740124,0.154544,0.955156,1489692150056
0.168498,-0.563165,-0.776934,1489692150250
-0.265796,-0.389597,-0.214685,1489692150448
0.515319,-1.112482,1.004680,1489692150645
-0.131483,-0.488780,-1.116142,1489692150853
-0.235462,-0.161386,-0.099412,1489692151042
1.013796,-0.008394,0.715217,1489692151237
1.032780,-0.435635,-0.231729,1489692151435
-0.233120,-0.060099,-0.173280,1489692151634
0.004008,-0.649417,1.116177,1489692151833
0.645001,-0.907573,-0.654700,1489692152027
0.684387,-0.829457,-0.090811,1489692152228
1.307469,-1.091751,-0.123299,1489692152422
1.027767,-1.143453,0.028942,1489692152631
0.568921,0.639324,0.123623,1489692152817
0.224580,1.283519,0.407124,1489692153015
-1.455685,0.459229,0.278013,1489692153276
0.292674,0.106518,-0.973869,1489692153410
0.465400,0.484451,1.138712,1489692153608
-1.568870,-0.347929,0.209476,1489692153817
0.048276,0.308966,-1.319803,1489692154003
1.151579,1.018890,0.073855,1489692154200
-1.485242,-0.182305,1.036916,1489692154406
-0.053585,0.245616,-1.171629,1489692154595
0.849957,0.364578,-0.298163,1489692154793
1.090283,-0.176440,0.184947,1489692154991
-0.690104,-0.114298,0.312668,1489692155188
0.380831,-0.033887,-0.656056,1489692155393
0.597261,0.322752,0.249946,1489692155586
-1.191147,-0.030406,0.772142,1489692155788
0.574344,0.091008,-1.263196,1489692156003
0.571338,0.189375,0.954250,1489692156191
-0.977654,-0.798832,0.346981,1489692156375
0.510770,-0.093583,-1.297234,1489692156597
0.024146,0.498768,0.903141,1489692156769
-0.940203,1.021348,0.026370,1489692156966
0.365482,-0.292961,-0.965597,1489692157168
-0.157870,0.025513,1.631238,1489692157362
-0.747026,-0.577068,-0.721749,1489692157563
0.696150,-0.057182,-1.393893,1489692157796
-0.142886,0.388689,1.677966,1489692157957
-0.993146,0.681827,-0.222531,1489692158151
0.683067,0.417627,-1.264503,1489692158349
0.044755,-0.630451,1.583361,1489692158568
-0.523220,-0.313005,-0.639620,1489692158744
0.636933,0.055709,-1.059351,1489692158951
-0.562315,0.631110,1.471513,1489692159139
-0.678632,0.192575,-0.254229,1489692159340
0.205424,-0.355016,-0.730169,1489692159556
-0.102218,0.042936,1.137360,1489692159732
-0.497167,-0.188233,-0.595152,1489692159947
0.831522,0.040530,-1.160489,1489692160127
-0.115410,0.481733,1.503837,1489692160346
-0.708117,0.426612,-0.903223,1489692160522
0.369498,0.054486,-0.388069,1489692160720
0.257616,-0.153317,1.429751,1489692160918
-0.824483,-0.254073,-0.052867,1489692161124
0.073215,-0.176795,-1.081390,1489692161333
-0.366084,0.042630,1.077813,1489692161510
-0.762841,0.358580,-0.305018,1489692161711
0.153820,0.057962,-0.992480,1489692161905
0.057305,0.444195,0.716344,1489692162114
