PosX,PosY,RSSI,Name,Timestamp
11.724593,5.658967,-73,egopi1,1488829753213
11.724593,5.658967,-84,egopi2,1488829753282
11.724593,5.658967,-77,egopi3,1488829753330
11.724593,5.658967,-76,egopi1,1488829753347
11.724593,5.658967,-84,egopi2,1488829753408
11.724593,5.658967,-73,egopi3,1488829753462
11.724593,5.658967,-79,egopi1,1488829753465
11.724593,5.658967,-84,egopi2,1488829753535
11.724593,5.658967,-82,egopi2,1488829753661
11.724593,5.658967,-74,egopi3,1488829753714
11.724593,5.658967,-88,egopi1,1488829753734
11.724593,5.658967,-79,egopi2,1488829753786
11.724593,5.658967,-79,egopi3,1488829753842
11.724593,5.658967,-89,egopi1,1488829753851
11.724593,5.658967,-81,egopi2,1488829753915
11.724593,5.658967,-64,egopi3,1488829753966
11.724593,5.658967,-91,egopi1,1488829753986
11.724593,5.658967,-79,egopi2,1488829754043
11.724593,5.658967,-69,egopi3,1488829754091
11.724593,5.658967,-84,egopi1,1488829754104
11.724593,5.658967,-80,egopi2,1488829754170
11.724593,5.658967,-66,egopi3,1488829754222
11.724593,5.658967,-76,egopi1,1488829754226
11.724593,5.658967,-78,egopi2,1488829754308
11.724593,5.658967,-88,egopi2,1488829754420
11.724593,5.658967,-70,egopi3,1488829754477
11.724593,5.658967,-95,egopi1,1488829754480
11.724593,5.658967,-81,egopi2,1488829754548
11.724593,5.658967,-96,null,1488829754590
11.724593,5.658967,-62,egopi3,1488829754608
11.724593,5.658967,-84,egopi2,1488829754676
11.724593,5.658967,-82,egopi2,1488829754801
11.724593,5.658967,-81,egopi2,1488829754927
11.724593,5.658967,-83,egopi2,1488829755055
11.724593,5.658967,-79,egopi2,1488829755182
11.724593,5.658967,-85,egopi2,1488829755307
11.724593,5.658967,-63,egopi3,1488829755355
11.724593,5.658967,-86,egopi2,1488829755433
11.724593,5.658967,-62,egopi3,1488829755480
11.724593,5.658967,-89,egopi1,1488829755484
11.724593,5.658967,-86,egopi2,1488829755560
11.724593,5.658967,-60,egopi3,1488829755607
11.724593,5.658967,-84,egopi2,1488829755686
11.724593,5.658967,-67,egopi3,1488829755732
11.724593,5.658967,-80,egopi2,1488829755812
11.724593,5.658967,-66,egopi3,1488829755856
11.724593,5.658967,-85,egopi1,1488829755869
11.724593,5.658967,-79,egopi2,1488829755936
11.724593,5.658967,-58,egopi3,1488829755983
11.724593,5.658967,-90,egopi1,1488829756003
11.724593,5.658967,-82,egopi2,1488829756062
11.724593,5.658967,-70,egopi3,1488829756108
11.724593,5.658967,-77,egopi1,1488829756121
11.724593,5.658967,-81,egopi2,1488829756188
